"Borough","Zone","Sub_Regions"
"City of London","Inner","Central"
"Barking and Dagenham","Outer","East"
"Barnet","Outer","North"
"Bexley","Outer","East"
"Brent","Outer","West"
"Bromley","Outer","South"
"Camden","Inner","Central"
"Croydon","Outer","South"
"Ealing","Outer","West"
"Enfield","Outer","North"
"Greenwich","Inner","East"
"Hackney","Inner","East"
"Hammersmith and Fulham","Inner","West"
"Haringey","Outer","North"
"Harrow","Outer","West"
"Havering","Outer","East"
"Hillingdon","Outer","West"
"Hounslow","Outer","West"
"Islington","Inner","Central"
"Kensington and Chelsea","Inner","Central"
"Kingston upon Thames","Outer","South"
"Lambeth","Inner","Central"
"Lewisham","Inner","East"
"Merton","Outer","South"
"Newham","Outer","East"
"Redbridge","Outer","East"
"Richmond upon Thames","Outer","West"
"Southwark","Inner","Central"
"Sutton","Outer","South"
"Tower Hamlets","Inner","East"
"Waltham Forest","Outer","East"
"Wandsworth","Inner","South"
"Westminster","Inner","Central"
