"Borough","Bedroom.Category","Count_of_listing","Mean","Lower_quartile","Median","Upper_quartile","Annual_OCC"
"Barking and Dagenham","1 Bedroom",60,67,39,56,94,26.889872581851
"Barking and Dagenham","2 Bedrooms",30,134,102,125,180,23.0671013177083
"Barking and Dagenham","3 Bedrooms",0,139,124,152,152,22.2705533224292
"Barking and Dagenham","Studio",0,90,90,90,90,10.655737704918
"Barnet","1 Bedroom",180,79,47,68,96,28.3920991455886
"Barnet","2 Bedrooms",40,133,100,116,160,35.3269057439384
"Barnet","3 Bedrooms",20,171,156,160,180,27.2001559339575
"Barnet","Studio",10,100,84,97,114,37.0006794694581
"Bexley","1 Bedroom",50,47,32,40,56,27.3405121126743
"Bexley","2 Bedrooms",10,61,28,40,92,16.4013926484528
"Bexley","3 Bedrooms",10,113,88,120,120,27.997621531074
"Brent","1 Bedroom",180,74,46,63,95,39.2112408695445
"Brent","2 Bedrooms",40,127,96,120,144,47.9226270489499
"Brent","3 Bedrooms",20,156,128,143,192,37.4803272766702
"Brent","Studio",20,52,32,44,60,29.703496219207
"Bromley","1 Bedroom",70,53,32,44,60,32.7680512545367
"Bromley","2 Bedrooms",20,92,68,78,92,38.6933241853628
"Bromley","3 Bedrooms",10,174,140,180,192,20.9167618370721
"Camden","1 Bedroom",490,112,68,92,128,56.1268008157517
"Camden","2 Bedrooms",200,222,136,183,280,49.7879301750457
"Camden","3 Bedrooms",80,269,180,249,320,39.9772907462669
"Camden","Studio",60,107,71,78,120,56.3282689060849
"City of London","1 Bedroom",40,163,104,160,184,41.5022514545812
"City of London","2 Bedrooms",10,208,160,200,240,54.7266478993767
"City of London","Studio",0,163,128,160,160,55.1818841960739
"Croydon","1 Bedroom",160,59,34,52,80,32.722371375137
"Croydon","2 Bedrooms",40,103,88,92,104,32.0225181093822
"Croydon","3 Bedrooms",10,126,100,100,159,28.7081050206743
"Croydon","Studio",10,42,36,40,44,45.5114825257239
"Ealing","1 Bedroom",210,68,44,60,80,37.7828418033384
"Ealing","2 Bedrooms",50,139,100,122,144,48.8247381029137
"Ealing","3 Bedrooms",10,163,146,176,204,43.9572735184656
"Ealing","Studio",0,98,64,74,83,12.6019351075171
"Enfield","1 Bedroom",70,68,44,56,81,28.5979672154419
"Enfield","2 Bedrooms",30,114,94,112,136,30.1791804128467
"Enfield","3 Bedrooms",10,150,104,136,240,30.4230766306893
"Greenwich","1 Bedroom",140,76,52,71,96,30.9758699733135
"Greenwich","2 Bedrooms",70,159,81,128,206,34.9991260437537
"Greenwich","3 Bedrooms",20,176,128,160,200,33.2004436946394
"Greenwich","Studio",0,46,28,34,76,37.930366784584
"Hackney","1 Bedroom",370,100,60,84,120,48.3703244742603
"Hackney","2 Bedrooms",110,172,120,156,209,62.438563924914
"Hackney","3 Bedrooms",20,228,79,261,289,52.3830239522458
"Hackney","Studio",70,112,79,107,123,67.7105118446016
"Hammersmith and Fulham","1 Bedroom",290,96,64,84,120,45.4670465661583
"Hammersmith and Fulham","2 Bedrooms",110,187,136,173,240,43.0060796081078
"Hammersmith and Fulham","3 Bedrooms",30,246,171,216,269,41.8459400244217
"Hammersmith and Fulham","Studio",30,91,64,76,112,58.0631107726377
"Haringey","1 Bedroom",150,66,44,64,80,45.9540881464158
"Haringey","2 Bedrooms",40,127,80,116,159,42.1621944709385
"Haringey","3 Bedrooms",10,195,156,200,228,47.0458791596917
"Haringey","Studio",10,72,60,64,68,54.840916319314
"Harrow","1 Bedroom",50,63,36,64,85,28.7150231678836
"Harrow","2 Bedrooms",20,92,39,79,132,40.8911430525659
