"Borough","Avg_Price","Flat_price"
"Barking and Dagenham",346896,241717
"Barnet",588711,410214
"Bexley",397261,276811
"Brent",538401,375158
"Bromley",501453,349412
"Camden",855575,596165
"City of London",908518,633055
"Croydon",418291,291465
"Ealing",532975,371377
"Enfield",442223,308141
"Greenwich",432507,301371
"Hackney",632091,440441
"Hammersmith and Fulham",783233,545757
"Haringey",603861,420770
"Harrow",510415,355657
"Havering",425911,296775
"Hillingdon",455337,317279
"Hounslow",457728,318945
"Islington",703794,490404
"Kensington and Chelsea",1332891,928758
"Kingston upon Thames",546965,381125
"Lambeth",555121,386808
"Lewisham",459874,320440
"Merton",577595,402468
"Newham",410988,286376
"Redbridge",472152,328996
"Richmond upon Thames",752684,524470
"Southwark",537992,374873
"Sutton",433541,302091
"Tower Hamlets",485470,338275
"Waltham Forest",504447,351499
"Wandsworth",625982,436184
"Westminster",1009314,703290
