Date,Type,Price ,Index
Jan-95,Detached,"161,449",21.7
Feb-95,Detached,"157,449",21.2
Mar-95,Detached,"156,090",21.0
Apr-95,Detached,"156,932",21.1
May-95,Detached,"158,778",21.4
Jun-95,Detached,"158,322",21.3
Jul-95,Detached,"161,896",21.8
Aug-95,Detached,"160,991",21.7
Sep-95,Detached,"159,829",21.5
Oct-95,Detached,"160,268",21.6
Nov-95,Detached,"157,177",21.1
Dec-95,Detached,"158,799",21.4
Jan-96,Detached,"159,926",21.5
Feb-96,Detached,"159,662",21.5
Mar-96,Detached,"161,107",21.7
Apr-96,Detached,"160,304",21.6
May-96,Detached,"160,540",21.6
Jun-96,Detached,"163,374",22.0
Jul-96,Detached,"167,042",22.5
Aug-96,Detached,"168,725",22.7
Sep-96,Detached,"169,961",22.9
Oct-96,Detached,"171,030",23.0
Nov-96,Detached,"168,697",22.7
Dec-96,Detached,"171,030",23.0
Jan-97,Detached,"176,010",23.7
Feb-97,Detached,"176,433",23.7
Mar-97,Detached,"177,667",23.9
Apr-97,Detached,"180,373",24.3
May-97,Detached,"186,373",25.1
Jun-97,Detached,"190,062",25.6
Jul-97,Detached,"196,287",26.4
Aug-97,Detached,"198,166",26.7
Sep-97,Detached,"203,053",27.3
Oct-97,Detached,"202,832",27.3
Nov-97,Detached,"206,280",27.7
Dec-97,Detached,"206,669",27.8
Jan-98,Detached,"212,537",28.6
Feb-98,Detached,"205,692",27.7
Mar-98,Detached,"209,210",28.1
Apr-98,Detached,"214,790",28.9
May-98,Detached,"212,891",28.6
Jun-98,Detached,"216,398",29.1
Jul-98,Detached,"223,821",30.1
Aug-98,Detached,"226,677",30.5
Sep-98,Detached,"226,350",30.4
Oct-98,Detached,"225,428",30.3
Nov-98,Detached,"225,927",30.4
Dec-98,Detached,"221,985",29.9
Jan-99,Detached,"226,545",30.5
Feb-99,Detached,"225,504",30.3
Mar-99,Detached,"227,657",30.6
Apr-99,Detached,"232,531",31.3
May-99,Detached,"232,262",31.2
Jun-99,Detached,"240,343",32.3
Jul-99,Detached,"249,454",33.6
Aug-99,Detached,"252,272",33.9
Sep-99,Detached,"260,347",35.0
Oct-99,Detached,"261,720",35.2
Nov-99,Detached,"267,166",35.9
Dec-99,Detached,"265,355",35.7
Jan-00,Detached,"280,980",37.8
Feb-00,Detached,"279,796",37.6
Mar-00,Detached,"284,608",38.3
Apr-00,Detached,"293,946",39.5
May-00,Detached,"297,670",40.0
Jun-00,Detached,"298,774",40.2
Jul-00,Detached,"313,017",42.1
Aug-00,Detached,"311,885",41.9
Sep-00,Detached,"314,775",42.3
Oct-00,Detached,"314,817",42.3
Nov-00,Detached,"314,211",42.3
Dec-00,Detached,"307,562",41.4
Jan-01,Detached,"313,677",42.2
Feb-01,Detached,"316,859",42.6
Mar-01,Detached,"312,590",42.0
Apr-01,Detached,"317,568",42.7
May-01,Detached,"320,126",43.1
Jun-01,Detached,"321,946",43.3
Jul-01,Detached,"337,102",45.3
Aug-01,Detached,"340,860",45.8
Sep-01,Detached,"344,116",46.3
Oct-01,Detached,"348,354",46.9
Nov-01,Detached,"346,501",46.6
Dec-01,Detached,"340,664",45.8
Jan-02,Detached,"352,528",47.4
Feb-02,Detached,"347,520",46.7
Mar-02,Detached,"351,801",47.3
Apr-02,Detached,"359,916",48.4
May-02,Detached,"367,527",49.4
Jun-02,Detached,"369,726",49.7
Jul-02,Detached,"389,899",52.4
Aug-02,Detached,"394,662",53.1
Sep-02,Detached,"399,194",53.7
Oct-02,Detached,"404,694",54.4
Nov-02,Detached,"412,507",55.5
Dec-02,Detached,"407,963",54.9
Jan-03,Detached,"419,137",56.4
Feb-03,Detached,"414,982",55.8
Mar-03,Detached,"415,288",55.9
Apr-03,Detached,"415,921",55.9
May-03,Detached,"418,968",56.4
Jun-03,Detached,"417,655",56.2
