Date,IPHRP,IPHRP_Change,
Jan-05,75.5,,
Feb-05,75.5,,
Mar-05,75.5,,
Apr-05,75.6,,
May-05,75.6,,
Jun-05,75.6,,
Jul-05,75.7,,
Aug-05,76.0,,
Sep-05,76.2,,
Oct-05,76.2,,
Nov-05,76.3,,
Dec-05,76.5,,
Jan-06,76.8,1.7,
Feb-06,77.0,2.0,
Mar-06,77.1,2.1,
Apr-06,77.3,2.2,
May-06,77.4,2.4,
Jun-06,77.6,2.6,
Jul-06,77.8,2.8,
Aug-06,77.9,2.5,
Sep-06,77.9,2.3,
Oct-06,78.0,2.3,
Nov-06,78.2,2.4,
Dec-06,78.2,2.3,
Jan-07,78.4,2.1,
Feb-07,78.6,2.1,
Mar-07,78.8,2.3,
Apr-07,79.2,2.5,
May-07,79.3,2.5,
Jun-07,79.7,2.7,
Jul-07,80.0,2.8,
Aug-07,80.3,3.1,
Sep-07,80.6,3.4,
Oct-07,80.9,3.8,
Nov-07,81.2,3.9,
Dec-07,81.7,4.4,
Jan-08,82.2,4.9,
Feb-08,82.4,4.8,
Mar-08,82.6,4.8,
Apr-08,82.8,4.6,
May-08,83.1,4.7,
Jun-08,83.4,4.7,
Jul-08,83.6,4.5,
Aug-08,83.8,4.3,
Sep-08,84.0,4.2,
Oct-08,84.5,4.4,
Nov-08,84.9,4.6,
Dec-08,85.2,4.3,
Jan-09,85.5,4.0,
Feb-09,85.7,4.1,
Mar-09,85.7,3.7,
Apr-09,85.8,3.6,
May-09,85.8,3.3,
Jun-09,85.7,2.8,
Jul-09,85.5,2.3,
Aug-09,85.4,2.0,
Sep-09,85.3,1.6,
Oct-09,85.1,0.8,
Nov-09,84.9,0.0,
Dec-09,84.8,-0.5,
Jan-10,84.7,-1.0,
Feb-10,84.6,-1.3,
Mar-10,84.5,-1.3,
Apr-10,84.4,-1.6,
May-10,84.5,-1.4,
Jun-10,84.5,-1.4,
Jul-10,84.7,-1.0,
Aug-10,84.8,-0.7,
Sep-10,85.0,-0.4,
Oct-10,85.3,0.2,
Nov-10,85.5,0.7,
Dec-10,85.9,1.3,
Jan-11,86.3,2.0,
Feb-11,86.6,2.3,
Mar-11,86.8,2.7,
Apr-11,87.1,3.2,
May-11,87.4,3.4,
Jun-11,87.7,3.7,
Jul-11,88.0,3.9,
Aug-11,88.4,4.2,
Sep-11,88.8,4.4,
Oct-11,89.1,4.6,
Nov-11,89.5,4.7,
Dec-11,90.0,4.9,
Jan-12,90.5,4.9,
Feb-12,90.8,4.9,
Mar-12,91.0,4.9,
Apr-12,91.6,5.2,
May-12,91.9,5.2,
Jun-12,92.3,5.3,
Jul-12,92.6,5.3,
Aug-12,92.9,5.1,
Sep-12,93.5,5.3,
Oct-12,93.8,5.2,
Nov-12,94.0,5.0,
Dec-12,94.4,4.8,
Jan-13,94.7,4.6,
Feb-13,94.9,4.5,
Mar-13,95.1,4.5,
Apr-13,95.4,4.2,
May-13,95.8,4.2,
Jun-13,96.0,4.1,
Jul-13,96.3,4.0,
Aug-13,96.7,4.0,
Sep-13,96.8,3.5,
Oct-13,96.9,3.3,
Nov-13,97.2,3.4,
Dec-13,97.2,3.0,
Jan-14,97.3,2.8,
Feb-14,97.3,2.5,
Mar-14,97.5,2.5,
Apr-14,97.7,2.4,
May-14,98.0,2.2,
Jun-14,98.1,2.1,
Jul-14,98.3,2.1,
Aug-14,98.5,1.9,
Sep-14,98.7,2.0,
Oct-14,99.0,2.2,
Nov-14,99.2,2.1,
Dec-14,99.5,2.4,
Jan-15,100.0,2.8,
Feb-15,100.3,3.0,
Mar-15,100.6,3.2,
Apr-15,100.9,3.3,
May-15,101.5,3.7,
Jun-15,101.8,3.8,
Jul-15,102.0,3.7,
Aug-15,102.7,4.3,
Sep-15,102.8,4.1,
Oct-15,103.0,4.1,
Nov-15,103.3,4.1,
Dec-15,103.4,3.9,
Jan-16,103.9,3.9,
Feb-16,104.1,3.8,
Mar-16,104.4,3.7,
Apr-16,104.7,3.7,
May-16,104.8,3.3,
Jun-16,104.9,3.0,
Jul-16,105.0,3.0,
Aug-16,105.3,2.6,
Sep-16,105.5,2.7,
Oct-16,105.7,2.6,
Nov-16,105.7,2.4,
Dec-16,105.8,2.4,
Jan-17,106.1,2.1,
Feb-17,106.1,1.9,
Mar-17,106.0,1.6,
Apr-17,106.1,1.4,
May-17,106.3,1.3,
Jun-17,106.3,1.3,
Jul-17,106.5,1.5,
Aug-17,106.5,1.2,
Sep-17,106.5,0.9,
Oct-17,106.5,0.8,
Nov-17,106.4,0.6,
Dec-17,106.2,0.4,
Jan-18,106.3,0.2,
Feb-18,106.2,0.1,
Mar-18,106.1,0.1,
Apr-18,106.1,0.0,
May-18,106.1,-0.2,
Jun-18,106.1,-0.2,
Jul-18,106.2,-0.3,
Aug-18,106.3,-0.3,
Sep-18,106.3,-0.2,
Oct-18,106.3,-0.2,
Nov-18,106.3,0.0,
Dec-18,106.4,0.2,
Jan-19,106.4,0.1,
Feb-19,106.5,0.2,
Mar-19,106.6,0.5,
Apr-19,106.7,0.5,
May-19,107.0,0.9,
Jun-19,107.0,0.9,
Jul-19,107.2,0.9,
Aug-19,107.1,0.8,
Sep-19,107.2,0.9,
Oct-19,107.3,0.9,
Nov-19,107.4,1.0,
Dec-19,107.6,1.2,
Jan-20,107.7,1.3,
Feb-20,107.7,1.1,
Mar-20,107.9,1.2,
Apr-20,108.0,1.3,
May-20,108.2,1.2,
Jun-20,108.3,1.2,
Jul-20,108.3,1.1,
Aug-20,108.5,1.3,
Sep-20,108.6,1.2,
Oct-20,108.2,0.9,
Nov-20,108.5,1.1,
Dec-20,108.6,0.9,
Jan-21,108.6,0.8,
