Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile,,,,,,
Barking and Dagenham,Room,10,750,467,542,827,,,,,,
Barking and Dagenham,Studio,10,779,750,750,850,,,,,,
Barking and Dagenham,One Bedroom,200,"1,046",950,"1,050","1,100",,,,,,
Barking and Dagenham,Two Bedrooms,340,"1,266","1,200","1,250","1,350",,,,,,
Barking and Dagenham,Three Bedrooms,240,"1,505","1,400","1,500","1,600",,,,,,
Barking and Dagenham,Four or More Bedrooms,40,"1,844","1,700","1,800","2,000",,,,,,
Barnet,Room,30,600,500,600,657,,,,,,
Barnet,Studio,110,962,850,950,"1,050",,,,,,
Barnet,One Bedroom,550,"1,231","1,100","1,225","1,350",,,,,,
Barnet,Two Bedrooms,"1,030","1,522","1,365","1,500","1,650",,,,,,
Barnet,Three Bedrooms,370,"2,002","1,750","1,900","2,200",,,,,,
Barnet,Four or More Bedrooms,200,"2,831","2,205","2,650","3,300",,,,,,
Bexley,Room,-,..,..,..,..,,,,,,
Bexley,Studio,20,876,800,850,925,,,,,,
Bexley,One Bedroom,170,"1,011",900,995,"1,100",,,,,,
Bexley,Two Bedrooms,300,"1,265","1,150","1,250","1,400",,,,,,
Bexley,Three Bedrooms,260,"1,531","1,300","1,500","1,750",,,,,,
Bexley,Four or More Bedrooms,70,"1,692","1,371","1,625","2,000",,,,,,
Brent,Room,30,798,671,850,890,,,,,,
Brent,Studio,50,884,800,888,950,,,,,,
Brent,One Bedroom,170,"1,224","1,100","1,200","1,300",,,,,,
Brent,Two Bedrooms,270,"1,513","1,350","1,450","1,600",,,,,,
Brent,Three Bedrooms,210,"1,852","1,700","1,800","2,000",,,,,,
Brent,Four or More Bedrooms,50,"2,431","2,000","2,300","2,563",,,,,,
Bromley,Room,-,..,..,..,..,,,,,,
Bromley,Studio,40,842,750,820,900,,,,,,
Bromley,One Bedroom,770,"1,084",975,"1,075","1,200",,,,,,
Bromley,Two Bedrooms,"1,020","1,382","1,250","1,350","1,500",,,,,,
Bromley,Three Bedrooms,430,"1,751","1,500","1,700","1,950",,,,,,
Bromley,Four or More Bedrooms,180,"2,624","2,000","2,400","2,800",,,,,,
Camden,Room,20,"2,158","1,275","2,290","3,064",,,,,,
Camden,Studio,160,"1,029",888,996,"1,100",,,,,,
Camden,One Bedroom,430,"1,718","1,350","1,603","1,880",,,,,,
Camden,Two Bedrooms,510,"2,407","1,850","2,200","2,600",,,,,,
Camden,Three Bedrooms,190,"3,200","2,513","3,000","3,683",,,,,,
Camden,Four or More Bedrooms,60,"4,431","3,087","4,000","5,200",,,,,,
City of London,Room,0,.,.,.,.,,,,,,
City of London,Studio,20,"1,696","1,350","1,582","1,950",,,,,,
City of London,One Bedroom,40,"1,977","1,680","1,900","2,145",,,,,,
City of London,Two Bedrooms,20,"2,526","2,250","2,500","2,800",,,,,,
City of London,Three Bedrooms,0,.,.,.,.,,,,,,
City of London,Four or More Bedrooms,0,.,.,.,.,,,,,,
Croydon,Room,30,595,495,542,692,,,,,,
Croydon,Studio,80,858,775,850,925,,,,,,
Croydon,One Bedroom,460,"1,007",915,990,"1,100",,,,,,
Croydon,Two Bedrooms,650,"1,277","1,160","1,250","1,375",,,,,,
Croydon,Three Bedrooms,260,"1,553","1,350","1,500","1,750",,,,,,
Croydon,Four or More Bedrooms,130,"2,155","1,800","2,000","2,500",,,,,,
Ealing,Room,30,639,567,642,692,,,,,,
Ealing,Studio,70,986,900,990,"1,094",,,,,,
Ealing,One Bedroom,490,"1,282","1,150","1,300","1,400",,,,,,
Ealing,Two Bedrooms,760,"1,578","1,400","1,550","1,700",,,,,,
Ealing,Three Bedrooms,290,"1,974","1,650","1,860","2,200",,,,,,
Ealing,Four or More Bedrooms,160,"2,819","2,250","2,550","3,100",,,,,,
Enfield,Room,10,567,492,592,667,,,,,,
Enfield,Studio,40,848,800,850,900,,,,,,
Enfield,One Bedroom,200,"1,093","1,000","1,069","1,175",,,,,,
Enfield,Two Bedrooms,360,"1,365","1,278","1,350","1,450",,,,,,
Enfield,Three Bedrooms,210,"1,678","1,513","1,650","1,800",,,,,,
Enfield,Four or More Bedrooms,60,"2,304","1,900","2,150","2,500",,,,,,
Greenwich,Room,30,629,516,600,650,,,,,,
Greenwich,Studio,40,962,820,900,"1,050",,,,,,
Greenwich,One Bedroom,420,"1,241","1,000","1,200","1,440",,,,,,
Greenwich,Two Bedrooms,740,"1,507","1,250","1,450","1,700",,,,,,
Greenwich,Three Bedrooms,350,"1,802","1,500","1,700","2,000",,,,,,
Greenwich,Four or More Bedrooms,100,"2,286","1,700","2,000","2,600",,,,,,
Hackney,Room,-,..,..,..,..,,,,,,
Hackney,Studio,50,"1,208",950,"1,175","1,350",,,,,,
Hackney,One Bedroom,340,"1,550","1,300","1,483","1,730",,,,,,
Hackney,Two Bedrooms,330,"1,953","1,600","1,850","2,170",,,,,,
Hackney,Three Bedrooms,160,"2,417","2,000","2,400","2,750",,,,,,
Hackney,Four or More Bedrooms,60,"3,188","2,808","3,100","3,467",,,,,,
Hammersmith and Fulham,Room,0,.,.,.,.,,,,,,
Hammersmith and Fulham,Studio,70,"1,132",964,"1,056","1,300",,,,,,
Hammersmith and Fulham,One Bedroom,420,"1,549","1,322","1,500","1,694",,,,,,
Hammersmith and Fulham,Two Bedrooms,480,"2,076","1,650","1,907","2,400",,,,,,
Hammersmith and Fulham,Three Bedrooms,160,"2,967","2,250","2,650","3,400",,,,,,
Hammersmith and Fulham,Four or More Bedrooms,120,"4,852","3,500","4,250","5,500",,,,,,
Haringey,Room,90,676,592,679,742,,,,,,
Haringey,Studio,80,941,850,925,"1,000",,,,,,
